0x000001FFB1B5AC50, 38746450920523768, 1444334800, 1444334807, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450921184032, 1444334869, 1444334877, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450921850688, 1444334929, 1444334936, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450922505144, 1444335000, 1444335006, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450923165952, 1444335070, 1444335077, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450923817392, 1444335129, 1444335136, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450924490728, 1444335200, 1444335206, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450925154960, 1444335260, 1444335266, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450925819064, 1444335329, 1444335336, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450926473488, 1444335399, 1444335405, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450927130272, 1444335460, 1444335466, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450927803744, 1444335528, 1444335535, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450928468376, 1444335599, 1444335606, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450929123296, 1444335660, 1444335666, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450929781392, 1444335729, 1444335736, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450930437216, 1444335791, 1444335798, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450931105344, 1444335859, 1444335866, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450931768192, 1444335930, 1444335937, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450932431712, 1444335991, 1444335998, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450933089000, 1444336059, 1444336066, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450933744640, 1444336119, 1444336127, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450934398128, 1444336189, 1444336196, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450935061856, 1444336249, 1444336256, 7, 1920x1080 
